2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:07:49Z       1093         35       1245         24         66         58          0          0          0          0          0          0          0          0          0        157          5         23        139          6         23         23         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:08:49Z       1451         67       1120         24         56         21          1          1          0          0          0         65          0          0          0        146          5         13        151          8         28         17         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:09:49Z       1041         95       1018         81         45         30          4          0          1          0          0          0         94          0          0        150          4         22        142          9         20         17         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:10:49Z       1076         17        965        121         33         45          2          0          0          0          0          0          0          0          0        168          3         14        151         12         16         24         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:11:49Z        946        124        675         64         32         30          9          0          0          0          0          0          0          0          0        175          8         20        142         13         12         21         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:12:49Z        906         16       1317         57         63         37          0          0          0          0          0          0          0          0          0        147          4         19        150         10         15         28         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:13:49Z        991        315        950         69         54         47          2          0          0          0          0          0          0          0          0        159          6         20        164         12         18         19         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:14:49Z        732        255        719         79         41         25          0          0          0          0          0          0          0          0          0        137          4         13        135         13         16         17         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:15:49Z       1292         77       1185         74         42         41          0          0          0          1          0          0          0         44          0        144          5         24        161         10         19         15         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:16:49Z        929          4        732         37         28         28          0          0          0          0          0          0          0          0          0        139          1         12        146          9         14         11         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:17:49Z        663         41        906         64         19         57          0          0          0          1          0          0          0         39          0        125          4         16        148          6         10         19         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:18:49Z       1074         47        794        327         77         49          0          0          0          2          0          0          0         97          0        148          6         17        144         11         24         21         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:19:49Z        863          4        870         35         73         48          0          1          0          0          0        114          0          0          0        131          2         14        136          6         18         23         139
